================================================================================
IPv4 Conversations
Filter:<No Filter>
                                               |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                               | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.4.2          <-> 192.168.1.143            746 313 kB        864 957 kB       1610 1271 kB       1.120760000        48.4927
192.168.4.2          <-> 44.240.146.2             165 58 kB         192 57 kB         357 116 kB        0.248977000        63.3399
192.168.4.2          <-> 16.146.181.30             39 11 kB          37 12 kB          76 23 kB        60.360650000         3.0947
192.168.4.2          <-> 40.126.28.12              16 15 kB          14 6233 bytes      30 22 kB        48.925840000         0.9295
192.168.4.2          <-> 54.187.9.84               15 5154 bytes      14 3760 bytes      29 8914 bytes     4.941048000        45.7409
192.168.4.2          <-> 3.175.64.58               15 7265 bytes      12 2813 bytes      27 10 kB         0.121814000         0.5243
192.168.4.2          <-> 18.172.185.64             13 7676 bytes      14 2878 bytes      27 10 kB         1.377796000         3.1281
192.168.4.2          <-> 16.147.171.234            14 5651 bytes      11 3261 bytes      25 8912 bytes    60.096712000         0.6184
192.168.4.2          <-> 192.168.4.1               12 2289 bytes      12 807 bytes      24 3096 bytes     0.000000000        60.9530
192.168.4.2          <-> 172.178.160.20             7 4468 bytes      13 9529 bytes      20 13 kB        49.843994000         0.4538
192.168.4.2          <-> 34.198.43.24               9 5117 bytes       7 1142 bytes      16 6259 bytes    14.457661000         0.9659
3.232.12.121         <-> 192.168.4.2                3 151 bytes       4 203 bytes       7 354 bytes     2.277605000         0.1726
192.168.4.2          <-> 40.126.28.19               1 40 bytes        2 80 bytes        3 120 bytes     3.680482000         0.1640
================================================================================
