================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.143:50339        <-> 192.168.4.2:5056               660 923 kB        358 15 kB        1018 939 kB       15.474310000         6.2803
192.168.4.2:24667          <-> 192.168.1.143:80               122 169 kB         23 1284 bytes     145 170 kB       44.222983000         1.7239
192.168.4.2:53158          <-> 16.146.181.30:443               39 11 kB          37 12 kB          76 23 kB        60.360650000         3.0947
192.168.4.2:10893          <-> 44.240.146.2:443                31 4007 bytes      42 17 kB          73 21 kB        59.669943000         3.9190
192.168.4.2:61847          <-> 44.240.146.2:443                26 6954 bytes      30 10 kB          56 17 kB         0.521566000         4.0040
192.168.4.2:24562          <-> 192.168.1.143:80                29 35 kB          10 781 bytes      39 36 kB        44.222537000         0.8783
192.168.4.2:9248           <-> 192.168.1.143:80                24 29 kB          11 861 bytes      35 30 kB        46.019395000         0.8278
192.168.4.2:12463          <-> 44.240.146.2:443                17 4315 bytes      16 3886 bytes      33 8201 bytes     4.391144000        10.5521
192.168.4.2:50095          <-> 40.126.28.12:443                16 15 kB          14 6233 bytes      30 22 kB        48.925840000         0.9295
192.168.4.2:39776          <-> 54.187.9.84:443                 15 5154 bytes      14 3760 bytes      29 8914 bytes     4.941048000        45.7409
192.168.4.2:50602          <-> 3.175.64.58:443                 15 7265 bytes      12 2813 bytes      27 10 kB         0.121814000         0.5243
192.168.4.2:30752          <-> 18.172.185.64:443               13 7676 bytes      14 2878 bytes      27 10 kB         1.377796000         3.1281
192.168.4.2:8186           <-> 192.168.1.143:80                18 20 kB           9 731 bytes      27 21 kB        44.222674000         0.7794
192.168.4.2:47064          <-> 16.147.171.234:443              14 5651 bytes      11 3261 bytes      25 8912 bytes    60.096712000         0.6184
192.168.4.2:58484          <-> 192.168.1.143:80                15 16 kB           8 674 bytes      23 17 kB        44.222797000         0.6864
192.168.4.2:60103          <-> 44.240.146.2:443                10 3792 bytes      10 2238 bytes      20 6030 bytes     0.521773000         0.4396
192.168.4.2:44278          <-> 44.240.146.2:443                10 3792 bytes      10 2270 bytes      20 6062 bytes     0.521892000         0.4431
192.168.4.2:22525          <-> 44.240.146.2:443                10 3792 bytes      10 2270 bytes      20 6062 bytes     0.521996000         0.4358
192.168.4.2:18640          <-> 44.240.146.2:443                10 3793 bytes      10 2302 bytes      20 6095 bytes     0.522093000         0.4357
192.168.4.2:10617          <-> 44.240.146.2:443                10 3793 bytes      10 2270 bytes      20 6063 bytes     0.522224000         0.4458
192.168.4.2:50096          <-> 172.178.160.20:443               7 4468 bytes      13 9529 bytes      20 13 kB        49.843994000         0.4538
192.168.4.2:59883          <-> 192.168.1.143:1234               8 2461 bytes       9 953 bytes      17 3414 bytes     1.120760000         7.7215
192.168.4.2:39777          <-> 34.198.43.24:443                 9 5117 bytes       7 1142 bytes      16 6259 bytes    14.457661000         0.9659
192.168.1.143:50341        <-> 192.168.4.2:5056                 8 5472 bytes       8 4448 bytes      16 9920 bytes    22.074663000         0.4021
192.168.1.143:50342        <-> 192.168.4.2:5056                 8 5472 bytes       8 4448 bytes      16 9920 bytes    22.482008000         0.4352
192.168.4.2:55519          <-> 44.240.146.2:443                 7 3457 bytes       8 2126 bytes      15 5583 bytes     4.217783000         0.3078
192.168.4.2:50401          <-> 44.240.146.2:443                 6 3416 bytes       8 2062 bytes      14 5478 bytes     0.248977000         0.4063
192.168.4.2:5665           <-> 44.240.146.2:443                 6 3417 bytes       8 2126 bytes      14 5543 bytes     0.249363000         0.4010
192.168.4.2:24739          <-> 44.240.146.2:443                 6 3417 bytes       8 2126 bytes      14 5543 bytes     0.249578000         0.4123
192.168.1.143:50340        <-> 192.168.4.2:5056                 6 2296 bytes       8 348 bytes      14 2644 bytes    21.759882000         0.3189
192.168.4.2:13629          <-> 44.240.146.2:443                 6 3416 bytes       7 2118 bytes      13 5534 bytes     0.249143000         0.4127
192.168.4.2:50092          <-> 44.240.146.2:443                 5 3376 bytes       8 2062 bytes      13 5438 bytes     0.249470000         0.2777
192.168.1.143:50343        <-> 192.168.4.2:5056                 5 1756 bytes       8 344 bytes      13 2100 bytes    22.922024000         0.3104
192.168.4.2:50094          <-> 192.168.1.143:1234               6 2381 bytes       7 873 bytes      13 3254 bytes    48.858480000         0.7550
192.168.4.2:46957          <-> 44.240.146.2:443                 5 3377 bytes       7 2022 bytes      12 5399 bytes     0.249251000         0.2758
192.168.1.143:50325        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     7.117230000         0.3056
192.168.1.143:50327        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     8.434063000         0.3021
192.168.1.143:50330        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     9.947195000         0.3031
192.168.1.143:50331        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    10.481569000         0.3001
192.168.1.143:50332        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    10.999074000         0.3035
192.168.1.143:50333        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    11.497100000         0.3096
