================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.143:50433        <-> 192.168.4.2:5056               667 930 kB        367 16 kB        1034 946 kB       15.989406000         5.9211
192.168.4.2:44553          <-> 192.168.1.143:2113              31 11 kB          30 1305 bytes      61 12 kB        22.065335000        29.3066
192.168.4.2:44546          <-> 192.168.1.143:2113              12 3528 bytes      11 465 bytes      23 3993 bytes     0.000000000        13.7662
192.168.1.143:50435        <-> 192.168.4.2:5056                 9 6516 bytes       8 4448 bytes      17 10 kB        22.222914000         1.0214
192.168.4.2:44551          <-> 3.232.12.121:443                 9 5117 bytes       7 1142 bytes      16 6259 bytes    14.996657000         0.9377
192.168.1.143:50436        <-> 192.168.4.2:5056                 8 5472 bytes       7 4408 bytes      15 9880 bytes    23.249663000         0.4048
192.168.1.143:50434        <-> 192.168.4.2:5056                 6 2296 bytes       6 268 bytes      12 2564 bytes    21.906228000         0.3166
192.168.1.143:50418        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     7.216764000         0.3050
192.168.1.143:50419        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     8.017756000         0.3017
192.168.1.143:50421        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     9.036514000         0.3054
192.168.1.143:50422        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     9.533239000         0.2995
192.168.1.143:50423        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    10.066148000         0.3064
192.168.1.143:50424        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    10.567963000         0.3072
192.168.1.143:50425        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    11.066150000         0.3074
192.168.1.143:50426        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    11.565732000         0.3042
192.168.1.143:50428        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    12.573504000         0.3077
192.168.1.143:50430        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    13.588482000         0.3019
192.168.1.143:50431        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    14.106413000         0.3096
192.168.1.143:50432        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    14.612615000         0.3037
192.168.1.143:50437        <-> 192.168.4.2:5056                 5 1756 bytes       6 264 bytes      11 2020 bytes    23.659559000         0.3140
192.168.4.2:44550          <-> 192.168.1.143:2113               5 200 bytes       5 260 bytes      10 460 bytes    14.562486000         2.5498
192.168.4.2:44552          <-> 192.168.1.143:2113               5 200 bytes       5 260 bytes      10 460 bytes    18.315035000         2.5314
192.168.1.143:50420        <-> 192.168.4.2:5056                 4 692 bytes       5 224 bytes       9 916 bytes     8.535772000         0.3049
192.168.1.143:50427        <-> 192.168.4.2:5056                 4 692 bytes       5 224 bytes       9 916 bytes    12.054651000         0.2971
192.168.1.143:50429        <-> 192.168.4.2:5056                 4 692 bytes       5 224 bytes       9 916 bytes    13.080946000         0.3086
192.168.1.143:50417        <-> 192.168.4.2:5056                 3 128 bytes       5 404 bytes       8 532 bytes     7.007280000         0.2056
192.168.4.2:44549          <-> 192.168.1.143:2113               2 92 bytes        2 92 bytes        4 184 bytes    13.971805000         0.3772
52.123.129.14:443          <-> 192.168.4.2:44548                0 0 bytes         1 40 bytes        1 40 bytes      2.219974000         0.0000
================================================================================
