tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:29:55.045780000 CST,5
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:29:55.319389000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:29:58.060886000 CST,5
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:29:58.303000000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:01.060893000 CST,5
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:01.334053000 CST,0
2,192.168.1.143,50417,192.168.4.2,5056,Jan 21, 2026 14:30:02.053060000 CST,0
2,192.168.4.2,5056,192.168.1.143,50417,Jan 21, 2026 14:30:02.053196000 CST,0
2,192.168.1.143,50417,192.168.4.2,5056,Jan 21, 2026 14:30:02.153683000 CST,0
2,192.168.1.143,50417,192.168.4.2,5056,Jan 21, 2026 14:30:02.157713000 CST,196
2,192.168.1.143,50417,192.168.4.2,5056,Jan 21, 2026 14:30:02.157713000 CST,0
2,192.168.4.2,5056,192.168.1.143,50417,Jan 21, 2026 14:30:02.157855000 CST,0
2,192.168.4.2,5056,192.168.1.143,50417,Jan 21, 2026 14:30:02.157960000 CST,0
2,192.168.1.143,50417,192.168.4.2,5056,Jan 21, 2026 14:30:02.258687000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.262544000 CST,0
3,192.168.4.2,5056,192.168.1.143,50418,Jan 21, 2026 14:30:02.262695000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.359453000 CST,0
3,192.168.4.2,5056,192.168.1.143,50418,Jan 21, 2026 14:30:02.360291000 CST,524
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.458379000 CST,16
3,192.168.4.2,5056,192.168.1.143,50418,Jan 21, 2026 14:30:02.458557000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.464010000 CST,0
3,192.168.4.2,5056,192.168.1.143,50418,Jan 21, 2026 14:30:02.464062000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.556182000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.561767000 CST,0
3,192.168.1.143,50418,192.168.4.2,5056,Jan 21, 2026 14:30:02.567562000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.063536000 CST,0
4,192.168.4.2,5056,192.168.1.143,50419,Jan 21, 2026 14:30:03.063622000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.161649000 CST,0
4,192.168.4.2,5056,192.168.1.143,50419,Jan 21, 2026 14:30:03.162222000 CST,524
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.260239000 CST,16
4,192.168.4.2,5056,192.168.1.143,50419,Jan 21, 2026 14:30:03.260473000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.266928000 CST,0
4,192.168.4.2,5056,192.168.1.143,50419,Jan 21, 2026 14:30:03.266961000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.359838000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.359838000 CST,0
4,192.168.1.143,50419,192.168.4.2,5056,Jan 21, 2026 14:30:03.365261000 CST,0
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:03.479779000 CST,198
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:03.526610000 CST,0
5,192.168.1.143,50420,192.168.4.2,5056,Jan 21, 2026 14:30:03.581552000 CST,0
5,192.168.4.2,5056,192.168.1.143,50420,Jan 21, 2026 14:30:03.581639000 CST,0
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:03.624959000 CST,398
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:03.677660000 CST,0
5,192.168.1.143,50420,192.168.4.2,5056,Jan 21, 2026 14:30:03.679356000 CST,0
5,192.168.4.2,5056,192.168.1.143,50420,Jan 21, 2026 14:30:03.679782000 CST,524
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:03.777062000 CST,374
5,192.168.1.143,50420,192.168.4.2,5056,Jan 21, 2026 14:30:03.782844000 CST,16
5,192.168.1.143,50420,192.168.4.2,5056,Jan 21, 2026 14:30:03.782844000 CST,0
5,192.168.4.2,5056,192.168.1.143,50420,Jan 21, 2026 14:30:03.782942000 CST,0
5,192.168.4.2,5056,192.168.1.143,50420,Jan 21, 2026 14:30:03.783081000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:03.826299000 CST,0
5,192.168.1.143,50420,192.168.4.2,5056,Jan 21, 2026 14:30:03.886465000 CST,0
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:03.925489000 CST,464
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:03.977669000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:04.061177000 CST,5
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.082294000 CST,0
6,192.168.4.2,5056,192.168.1.143,50421,Jan 21, 2026 14:30:04.082400000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.183961000 CST,0
6,192.168.4.2,5056,192.168.1.143,50421,Jan 21, 2026 14:30:04.184468000 CST,524
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:04.262913000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.283422000 CST,16
6,192.168.4.2,5056,192.168.1.143,50421,Jan 21, 2026 14:30:04.283882000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.289008000 CST,0
6,192.168.4.2,5056,192.168.1.143,50421,Jan 21, 2026 14:30:04.289105000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.380357000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.386478000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.387677000 CST,0
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:04.553184000 CST,244
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.579019000 CST,0
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.579130000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:04.609189000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.676233000 CST,0
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.676552000 CST,524
