tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.320950000 CST,0
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:29.420121000 CST,0
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.420175000 CST,0
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.420810000 CST,516
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:29.562373000 CST,142
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.564814000 CST,65
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:29.663245000 CST,85
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.710334000 CST,0
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:29.966826000 CST,1380
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:29.971974000 CST,18
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:29.972004000 CST,0
13,192.168.1.143,1234,192.168.4.2,59883,Jan 20, 2026 15:48:30.072407000 CST,504
13,192.168.4.2,59883,192.168.1.143,1234,Jan 20, 2026 15:48:30.125918000 CST,0
20,192.168.1.143,50324,192.168.4.2,5056,Jan 20, 2026 15:48:35.108287000 CST,0
20,192.168.4.2,5056,192.168.1.143,50324,Jan 20, 2026 15:48:35.108417000 CST,0
20,192.168.1.143,50324,192.168.4.2,5056,Jan 20, 2026 15:48:35.205989000 CST,0
20,192.168.1.143,50324,192.168.4.2,5056,Jan 20, 2026 15:48:35.212078000 CST,196
20,192.168.1.143,50324,192.168.4.2,5056,Jan 20, 2026 15:48:35.212078000 CST,0
20,192.168.4.2,5056,192.168.1.143,50324,Jan 20, 2026 15:48:35.212200000 CST,0
20,192.168.4.2,5056,192.168.1.143,50324,Jan 20, 2026 15:48:35.212295000 CST,0
20,192.168.1.143,50324,192.168.4.2,5056,Jan 20, 2026 15:48:35.312302000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.317420000 CST,0
21,192.168.4.2,5056,192.168.1.143,50325,Jan 20, 2026 15:48:35.317538000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.414703000 CST,0
21,192.168.4.2,5056,192.168.1.143,50325,Jan 20, 2026 15:48:35.415366000 CST,524
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.513793000 CST,16
21,192.168.4.2,5056,192.168.1.143,50325,Jan 20, 2026 15:48:35.514215000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.519355000 CST,0
21,192.168.4.2,5056,192.168.1.143,50325,Jan 20, 2026 15:48:35.519478000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.611521000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.617922000 CST,0
21,192.168.1.143,50325,192.168.4.2,5056,Jan 20, 2026 15:48:35.623067000 CST,0
22,192.168.1.143,50326,192.168.4.2,5056,Jan 20, 2026 15:48:36.131152000 CST,0
22,192.168.4.2,5056,192.168.1.143,50326,Jan 20, 2026 15:48:36.131321000 CST,0
22,192.168.1.143,50326,192.168.4.2,5056,Jan 20, 2026 15:48:36.229600000 CST,0
22,192.168.4.2,5056,192.168.1.143,50326,Jan 20, 2026 15:48:36.230439000 CST,524
22,192.168.1.143,50326,192.168.4.2,5056,Jan 20, 2026 15:48:36.347026000 CST,16
22,192.168.1.143,50326,192.168.4.2,5056,Jan 20, 2026 15:48:36.347026000 CST,0
22,192.168.4.2,5056,192.168.1.143,50326,Jan 20, 2026 15:48:36.347315000 CST,0
22,192.168.4.2,5056,192.168.1.143,50326,Jan 20, 2026 15:48:36.347526000 CST,0
22,192.168.1.143,50326,192.168.4.2,5056,Jan 20, 2026 15:48:36.445938000 CST,0
23,192.168.1.143,50327,192.168.4.2,5056,Jan 20, 2026 15:48:36.634253000 CST,0
23,192.168.4.2,5056,192.168.1.143,50327,Jan 20, 2026 15:48:36.634365000 CST,0
23,192.168.1.143,50327,192.168.4.2,5056,Jan 20, 2026 15:48:36.732375000 CST,0
23,192.168.4.2,5056,192.168.1.143,50327,Jan 20, 2026 15:48:36.733167000 CST,524
23,192.168.1.143,50327,192.168.4.2,5056,Jan 20, 2026 15:48:36.831964000 CST,16
23,192.168.4.2,5056,192.168.1.143,50327,Jan 20, 2026 15:48:36.832680000 CST,0
23,192.168.1.143,50327,192.168.4.2,5056,Jan 20, 2026 15:48:36.836146000 CST,0
23,192.168.4.2,5056,192.168.1.143,50327,Jan 20, 2026 15:48:36.836232000 CST,0
23,192.168.1.143,50327,192.168.4.2,5056,Jan 20, 2026 15:48:36.931358000 CST,0
