================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.143:50458        <-> 192.168.4.2:5056               669 936 kB        389 17 kB        1058 953 kB       15.146092000         6.3094
192.168.4.2:60795          <-> 192.168.1.143:2113              24 11 kB          24 1033 bytes      48 12 kB        21.166952000        12.0977
192.168.4.2:44553          <-> 192.168.1.143:2113              12 3528 bytes      11 465 bytes      23 3993 bytes     0.000000000        12.7804
192.168.4.2:60793          <-> 34.198.43.24:443                 9 5117 bytes       7 1142 bytes      16 6259 bytes    14.155126000         0.9283
192.168.1.143:50461        <-> 192.168.4.2:5056                 8 5472 bytes       8 4448 bytes      16 9920 bytes    22.184787000         0.4411
192.168.1.143:50460        <-> 192.168.4.2:5056                 8 5472 bytes       7 4408 bytes      15 9880 bytes    21.764454000         0.4148
192.168.1.143:50459        <-> 192.168.4.2:5056                 6 2296 bytes       8 348 bytes      14 2644 bytes    21.444894000         0.3162
192.168.1.143:50448        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     5.873793000         0.3022
192.168.1.143:50449        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     6.694373000         0.3118
192.168.1.143:50450        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     7.197546000         0.3002
192.168.1.143:50451        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     7.713582000         0.3046
192.168.1.143:50452        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     8.231159000         0.3008
192.168.1.143:50453        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     8.750945000         0.3005
192.168.1.143:50454        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     9.257061000         0.3079
192.168.1.143:50455        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes     9.771331000         0.3097
192.168.1.143:50456        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    10.292381000         0.3041
192.168.1.143:50457        <-> 192.168.4.2:5056                 4 692 bytes       7 304 bytes      11 996 bytes    13.772862000         0.3060
192.168.1.143:50462        <-> 192.168.4.2:5056                 5 1756 bytes       6 264 bytes      11 2020 bytes    22.637579000         0.3096
192.168.4.2:60792          <-> 192.168.1.143:2113               5 200 bytes       5 260 bytes      10 460 bytes    13.666894000         2.5158
192.168.4.2:60794          <-> 192.168.1.143:2113               5 200 bytes       5 260 bytes      10 460 bytes    17.416924000         2.5256
192.168.1.143:50447        <-> 192.168.4.2:5056                 3 128 bytes       5 404 bytes       8 532 bytes     5.659466000         0.2044
192.168.4.2:60790          <-> 24.244.52.59:80                  3 400 bytes       4 454 bytes       7 854 bytes     2.563010000         0.2867
192.168.4.2:60791          <-> 192.168.1.143:2113               2 92 bytes        2 92 bytes        4 184 bytes    12.983063000         0.4696
================================================================================
