tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:30.023541000 CST,5
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:30.266002000 CST,0
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:33.023942000 CST,5
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:33.338130000 CST,0
2,192.168.1.143,50447,192.168.4.2,5056,Jan 21, 2026 14:49:35.683007000 CST,0
2,192.168.4.2,5056,192.168.1.143,50447,Jan 21, 2026 14:49:35.683216000 CST,0
2,192.168.1.143,50447,192.168.4.2,5056,Jan 21, 2026 14:49:35.782102000 CST,0
2,192.168.1.143,50447,192.168.4.2,5056,Jan 21, 2026 14:49:35.787884000 CST,196
2,192.168.1.143,50447,192.168.4.2,5056,Jan 21, 2026 14:49:35.787884000 CST,0
2,192.168.4.2,5056,192.168.1.143,50447,Jan 21, 2026 14:49:35.788011000 CST,0
2,192.168.4.2,5056,192.168.1.143,50447,Jan 21, 2026 14:49:35.788087000 CST,0
2,192.168.1.143,50447,192.168.4.2,5056,Jan 21, 2026 14:49:35.887395000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:35.897334000 CST,0
3,192.168.4.2,5056,192.168.1.143,50448,Jan 21, 2026 14:49:35.897451000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:35.995525000 CST,0
3,192.168.4.2,5056,192.168.1.143,50448,Jan 21, 2026 14:49:35.996519000 CST,524
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:36.016752000 CST,5
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:36.096150000 CST,16
3,192.168.4.2,5056,192.168.1.143,50448,Jan 21, 2026 14:49:36.096434000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:36.101813000 CST,0
3,192.168.4.2,5056,192.168.1.143,50448,Jan 21, 2026 14:49:36.101856000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:36.195257000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:36.199509000 CST,0
3,192.168.1.143,50448,192.168.4.2,5056,Jan 21, 2026 14:49:36.199509000 CST,0
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:36.222086000 CST,0
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:36.717914000 CST,0
4,192.168.4.2,5056,192.168.1.143,50449,Jan 21, 2026 14:49:36.718016000 CST,0
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:36.821326000 CST,0
4,192.168.4.2,5056,192.168.1.143,50449,Jan 21, 2026 14:49:36.822169000 CST,524
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:36.926298000 CST,16
4,192.168.4.2,5056,192.168.1.143,50449,Jan 21, 2026 14:49:36.926585000 CST,0
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:36.931848000 CST,0
4,192.168.4.2,5056,192.168.1.143,50449,Jan 21, 2026 14:49:36.931901000 CST,0
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:37.024355000 CST,0
4,192.168.1.143,50449,192.168.4.2,5056,Jan 21, 2026 14:49:37.029733000 CST,0
